Sector,Project name,Estimated Value,Procurement Strategy,Current Phase,Procurement Start Date (est.),Procurement End Date (est.),Construction Start Date (est.),Construction End Date (est.),Project Link,Source Lifecycle,Unnamed: 7
Transport,Parramatta Light Rail Stage 2 Main Works,$$$$$,,,,,,,https://www.nsw.gov.au/driving-boating-and-transport/projects/parramatta-light-rail/stage-2,In Planning,
Transport,Picton Bypass,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/picton-bypass,In Planning,
Transport,Regional Overnight Sleeper Services,$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Richmond Road Corridor upgrade,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/north-west-growth-area,In Planning,
Transport,"Sheahan Bridge Upgrade Northbound, Gundagai",TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/sheahan-bridge-upgrade,In Planning,
Transport,Shellharbour Hospital access,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,South West Sydney Rail Extensions Final Business Case,$$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Spring Farm Parkway Stage 2,$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/spring-farm-parkway-menangle-stage-2,In Planning,
Transport,Stacey Street upgrade,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/stacey-st-and-hume-highway-bankstown-upgrade,In Planning,
Transport,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,TBA,,,,,,,https://www.sydneymetro.info/planning-future-extensions,In Planning,
Transport,Terrigal Drive Upgrade,$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,"The Northern Road Upgrade, Borrowdale Way to Londonderry Road",TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/northern-road-upgrade-between-borrowdale-way-jordan-springs-to,In Planning,
