timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
TLS-0016,TFNSW-0008,"John Renshaw Drive upgrade, Black Hill",Hunter roads,$$$$,TBA,Construction procurement,To be confirmed,Q4 2029,Q2 2030,13,15,#F3AEA3,2,curve,499.8037355108435,574.9392878361954
TLS-0017,TFNSW-0009,"Mandalong Road upgrade, Morisset",Hunter roads,$$,CO,Detailed or reference design,Confirmed,Q3 2026,Q4 2026,0,1,#7BAE27,2,curve,163.21675993530138,212.46100706745767
TLS-0018,TFNSW-0009,"Mandalong Road upgrade, Morisset",Hunter roads,$$,CO,Construction procurement,To be confirmed,Q1 2027,Q2 2027,2,3,#F3AEA3,2,curve,214.99936417769277,264.24361130984903
TLS-0019,TFNSW-0009,"Mandalong Road upgrade, Morisset",Hunter roads,$$,CO,Construction and commissioning,To be confirmed,Q3 2027,Q1 2030,4,14,#9C9DC5,2,curve,266.020476915813,548.7941434375764
TLS-0020,TFNSW-0010,Nelson Bay Road Improvements,Hunter roads,$$$$,D&C,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q1 2028,0,6,#20A8E1,2,curve,163.21675993530138,341.9175330334355
TLS-0021,TFNSW-0010,Nelson Bay Road Improvements,Hunter roads,$$$$,D&C,Construction procurement,To be confirmed,Q2 2028,Q4 2028,7,9,#F3AEA3,2,curve,344.45589158367056,419.5914439090224
TLS-0022,TFNSW-0010,Nelson Bay Road Improvements,Hunter roads,$$$$,D&C,Construction and commissioning,To be confirmed,Q1 2029,Q2 2030,10,15,#9C9DC5,2,curve,421.368294442987,574.6854349987725
TLS-0023,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2027,0,4,#20A8E1,2,curve,163.21675993530138,290.1349226470444
TLS-0024,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Detailed or reference design procurement,To be confirmed,Q4 2027,Q4 2027,5,5,#FACEA4,2,curve,292.6732873412792,316.02622928023993
TLS-0025,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Detailed or reference design,To be confirmed,Q1 2028,Q4 2028,6,9,#D0DDAD,2,curve,318.56457506247546,419.5914325810229
